user address,power_user,bgt_delegator,ibgt_lover,ibgt_enjoyoor,infrared_is_key,points_total,weight
0x16fa6206b173ad78d319388397540dab9d9843a1,1,1,2,3,0,7,0.00035613570950955
0x1761042b43590a755478d1325b6424885e6ab8b5,1,1,2,3,0,7,0.00035613570950955
0x176c946fe3d6b8f7bd647faa851771fa185f30a2,1,1,2,3,0,7,0.00035613570950955
0x1788f414d555866638df7d22dae1229b38306580,1,1,2,3,0,7,0.00035613570950955
0x18960a76e96ff8208f1a06eb9e673e2c47cfdb4a,1,1,2,3,0,7,0.00035613570950955
0x18b3503941a2ff73549532182e4d5a7baee89649,1,1,2,3,0,7,0.00035613570950955
0x18dcd18e088e8d756ab99f852103f75295a0684b,1,1,2,3,0,7,0.00035613570950955
0x195f89c67e0e6c27c8f6eea917f233b81d416650,1,1,2,3,0,7,0.00035613570950955
0x1a13975b89fb2e19a6c35ee38e22c9efacc837de,1,1,2,3,0,7,0.00035613570950955
0x1a21c392cb9254845aa18706858d55faddde3f9c,1,1,2,3,0,7,0.00035613570950955
0x1a48b4f22b0f1fd501747e303b67c60a17a80730,1,1,2,3,0,7,0.00035613570950955
0x1a68a604fc403d45c3d18c61990b6e3587c58b05,1,1,2,3,0,7,0.00035613570950955
0x1a6a765e3fcc6aeefb0891c9e76d086728437772,1,1,2,3,0,7,0.00035613570950955
0x1a8d6d5abd8948b647c51bb7b071b718fd90d6ff,1,1,2,3,0,7,0.00035613570950955
0x1abcd68c6741d1095ea4943a6c890bf273270f19,1,1,2,3,0,7,0.00035613570950955
0x1aebffac0eab3e013b45ff6b3deace0a70a298fe,1,1,2,3,0,7,0.00035613570950955
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,1,1,2,3,0,7,0.00035613570950955
0x1beb41039f3b752730e8121e88fa4e8441f7bd54,1,1,2,3,0,7,0.00035613570950955
0x1d73386683e93ad021c25b5a7020d2dfcbe930c6,1,1,2,3,0,7,0.00035613570950955
0x1db165870fb7f63524ed43436554300a6b18a30b,1,1,2,3,0,7,0.00035613570950955
0x1dc0402602b10eb2d86791eda203f1a3003488e6,1,1,2,3,0,7,0.00035613570950955
0x1e02588b53b9a5cb45dd547f52f3331c9411d842,1,1,2,3,0,7,0.00035613570950955
0x1e27a1f7047ca30b77c9ed7038ff098c2c2083c9,1,1,2,3,0,7,0.00035613570950955
0x1f0f22756efd4d3b74828051b8142199e78f5fa2,1,1,2,3,0,7,0.00035613570950955
0x1f54119e946726e1c6fac3e67611cdda9ec08ef1,1,1,2,3,0,7,0.00035613570950955
0x1f8395939e8b4b85848dd0b0f5084d83bb7d7021,1,1,2,3,0,7,0.00035613570950955
0x1f8436a9f4acf397e95c5ea042ba7a48c73735df,1,1,2,3,0,7,0.00035613570950955
0x1fa6590a72244f642fb955daf3c552e53e36d719,1,1,2,3,0,7,0.00035613570950955
0x2018a83f2b5742aae574853a3268a87488613840,1,1,2,3,0,7,0.00035613570950955
0x2058929a04840eb1a1ed5367b7027f0dc9379920,1,1,2,3,0,7,0.00035613570950955
0x20c6f73a8f39cba0597b8bba1073cd515e4d7edf,1,1,2,3,0,7,0.00035613570950955
0x20f053d7e3a9d53d42fe31ae14eef996c3b5706b,1,1,2,3,0,7,0.00035613570950955
0x211f28cdc8b18d8df719575992336c3dff1e5238,1,1,2,3,0,7,0.00035613570950955
0x216262e2cea62c9a38bbc7b5da569d5b462f674a,1,1,2,3,0,7,0.00035613570950955
0x217d9a5c581a1d427b074548c9f44bb724b7fc20,1,1,2,3,0,7,0.00035613570950955
0x2210b38ac0b2db2c75e7979f469982cf744e03ec,1,1,2,3,0,7,0.00035613570950955
0x222cf246a3d56d61030ca49f5e6ffd6c20c3dc4f,1,1,2,3,0,7,0.00035613570950955
0x22645f6bc4c4faab396837fa30e1ab1bfa73926a,1,1,2,3,0,7,0.00035613570950955
0x227b3f677f47fbe9e6994107316773e5244f7ae9,1,1,2,3,0,7,0.00035613570950955
0x228e3959467eda82b1008c97b395ce23850c1b43,1,1,2,3,0,7,0.00035613570950955
0x22955b71fd52b480c1eb9b3ef8ea3d9eba8340d0,1,1,2,3,0,7,0.00035613570950955
0x22b35e8dc96e54eb7a604069ab899237ae09bdec,1,1,2,3,0,7,0.00035613570950955
0x23b5a4546be599436b433fed07686e66a9b7aa41,1,1,2,3,0,7,0.00035613570950955
0x23c53426c034167aaa74e015d1f724fdfb6f5cae,1,1,2,3,0,7,0.00035613570950955
0x2440a0af4a6c7c15017f65dc56184bd5e0749ce3,1,1,2,3,0,7,0.00035613570950955
0x2456e5eb5fb7a50242b9bff710fb81aa176fd744,1,1,2,3,0,7,0.00035613570950955
0x2463ae2c35ac83d1278d624e181841000f4bcc15,1,1,2,3,0,7,0.00035613570950955
0x252ea64c1c9e8703a2a9f00910029c7706a3438c,1,1,2,3,0,7,0.00035613570950955
0x253b59da293df968fba33ee4dc1b334ec1d02405,1,1,2,3,0,7,0.00035613570950955
0x25c118e4818bed82d24601e34c71d8675c5061bf,1,1,2,3,0,7,0.00035613570950955
0x265dee441c49aa41b8e9e4bc2500cde4334ee8a3,1,1,2,3,0,7,0.00035613570950955
0x26a991770d72c1ff9246eadbde07a3fea8bf223b,1,1,2,3,0,7,0.00035613570950955
0x26cfd46be1e7b6d992d25a50185ada24170021b2,1,1,2,3,0,7,0.00035613570950955
0x275a434e8d9823a695c7676696b73d838a011a24,1,1,2,3,0,7,0.00035613570950955
0x2847f088bbd86dfbb4df86c9b5ac7a7a858f4881,1,1,2,3,0,7,0.00035613570950955
0x286cdd047a513d35ef1ed33fcf7fb6e3893e3d95,1,1,2,3,0,7,0.00035613570950955
0x28b37d7f235fe68cf073beb87e78978bc38eecba,1,1,2,3,0,7,0.00035613570950955
0x28f8a57b18a53f83084ac67dd394e06483d4e68e,1,1,2,3,0,7,0.00035613570950955
0x28fc58ac8dd6b1e3db146741f37ec7d8cfdb9977,1,1,2,3,0,7,0.00035613570950955
0x29265ae40ea19b38935b4020f84558ab3cc53dde,1,1,2,3,0,7,0.00035613570950955
0x29298b2074cdf710dc6ac39bb0e53cc201639bee,1,1,2,3,0,7,0.00035613570950955
0x29d8b968386772ad152973a748e1a288523f0f3d,1,1,2,3,0,7,0.00035613570950955
0x29f3934c71b5a4771b59c910ffa41287a64c4291,1,1,2,3,0,7,0.00035613570950955
0x2a0943057a4414d481742abb46709d61e162f62e,1,1,2,3,0,7,0.00035613570950955
0x2a2784f8fcdbbf6e0183a423f4375da77cb84574,1,1,2,3,0,7,0.00035613570950955
0x2a2de42b4567a6f47b6b8a6803a58cd676da1a0c,1,1,2,3,0,7,0.00035613570950955
0x2a4f47923cf68e2329624575b1f9f4af4ae9cf82,1,1,2,3,0,7,0.00035613570950955
0x2a5645386be8d71bae60b8ecc3185d8f906a8cb8,1,1,2,3,0,7,0.00035613570950955
0x2a8a48f4172de95a56691ffa7a32cd76a253279d,1,1,2,3,0,7,0.00035613570950955
0x2ae13e64239541b84ee6302a0b39a16cdc969315,1,1,2,3,0,7,0.00035613570950955
0x2ae27f5d0b8e48f75174f28d51188905ec1b666b,1,1,2,3,0,7,0.00035613570950955
0x2b49eb913e5d5d82ae3c7145577f24e9a7615d39,1,1,2,3,0,7,0.00035613570950955
0x2b73cf1cea5c68f4d982aef0c858f15ff4119e2e,1,1,2,3,0,7,0.00035613570950955
0x2bfb71ad67f2edfc21c3818e18c0e708222b0671,1,1,2,3,0,7,0.00035613570950955
0x2c2790a366c7d54a4d772389bded4fcc4441e6ff,1,1,2,3,0,7,0.00035613570950955
0x2c88854c8a089bb86d228d5fe42dbbac98f5d7fe,1,1,2,3,0,7,0.00035613570950955
0x2cd01454095ae85bff748811d60553f3dfba0fa7,1,1,2,3,0,7,0.00035613570950955
0x2cf6bca61c39e1c1491cb2ba85f6d97a3e9904ca,1,1,2,3,0,7,0.00035613570950955
